simplified_created_at_date,fips,state_cases,state_deaths
2020.2.1,4,1,0
2020.2.1,6,3,0
2020.2.1,17,2,0
2020.2.1,25,1,0
2020.2.1,53,1,0
2020.2.2,4,1,0
2020.2.2,6,6,0
2020.2.2,17,2,0
2020.2.2,25,1,0
2020.2.2,53,1,0
2020.2.3,4,1,0
2020.2.3,6,6,0
2020.2.3,17,2,0
2020.2.3,25,1,0
2020.2.3,53,1,0
2020.2.4,4,1,0
2020.2.4,6,6,0
2020.2.4,17,2,0
2020.2.4,25,1,0
2020.2.4,53,1,0
2020.2.5,4,1,0
2020.2.5,6,6,0
2020.2.5,17,2,0
2020.2.5,25,1,0
2020.2.5,53,1,0
2020.2.5,55,1,0
2020.2.6,4,1,0
2020.2.6,6,6,0
2020.2.6,17,2,0
2020.2.6,25,1,0
2020.2.6,53,1,0
2020.2.6,55,1,0
2020.2.7,4,1,0
2020.2.7,6,6,0
2020.2.7,17,2,0
2020.2.7,25,1,0
2020.2.7,53,1,0
2020.2.7,55,1,0
2020.2.8,4,1,0
2020.2.8,6,6,0
2020.2.8,17,2,0
2020.2.8,25,1,0
2020.2.8,53,1,0
2020.2.8,55,1,0
2020.2.9,4,1,0
2020.2.9,6,6,0
2020.2.9,17,2,0
2020.2.9,25,1,0
2020.2.9,53,1,0
2020.2.9,55,1,0
2020.2.10,4,1,0
2020.2.10,6,7,0
2020.2.10,17,2,0
2020.2.10,25,1,0
2020.2.10,53,1,0
2020.2.10,55,1,0
2020.2.11,4,1,0
2020.2.11,6,7,0
2020.2.11,17,2,0
2020.2.11,25,1,0
2020.2.11,53,1,0
2020.2.11,55,1,0
2020.2.12,4,1,0
2020.2.12,6,7,0
2020.2.12,17,2,0
2020.2.12,25,1,0
2020.2.12,48,1,0
2020.2.12,53,1,0
2020.2.12,55,1,0
2020.2.13,4,1,0
2020.2.13,6,7,0
2020.2.13,17,2,0
2020.2.13,25,1,0
2020.2.13,48,2,0
2020.2.13,53,1,0
2020.2.13,55,1,0
2020.2.14,4,1,0
2020.2.14,6,7,0
2020.2.14,17,2,0
2020.2.14,25,1,0
2020.2.14,48,2,0
2020.2.14,53,1,0
2020.2.14,55,1,0
2020.2.15,4,1,0
2020.2.15,6,7,0
2020.2.15,17,2,0
2020.2.15,25,1,0
2020.2.15,48,2,0
2020.2.15,53,1,0
2020.2.15,55,1,0
2020.2.16,4,1,0
2020.2.16,6,7,0
2020.2.16,17,2,0
2020.2.16,25,1,0
2020.2.16,48,2,0
2020.2.16,53,1,0
2020.2.16,55,1,0
2020.2.17,4,1,0
2020.2.17,6,7,0
2020.2.17,17,2,0
2020.2.17,25,1,0
2020.2.17,31,10,0
2020.2.17,48,2,0
2020.2.17,53,1,0
2020.2.17,55,1,0
2020.2.18,4,1,0
2020.2.18,6,7,0
2020.2.18,17,2,0
2020.2.18,25,1,0
